Date,Organization Name,Amount,Cause Area,org_cause
2018-05-01,Early-Career Funding for Global Catastrophic Biological Risks,570000.0,Longtermism,Early-Career Funding for Global Catastrophic Biological Risks|Longtermism
2018-04-01,IDinsight,1196729.0,Global Health,IDinsight|Global Health
2018-04-01,International Society for Applied Ethology,135412.0,Animal Welfare,International Society for Applied Ethology|Animal Welfare
2018-04-01,Changing Tastes,50000.0,Animal Welfare,Changing Tastes|Animal Welfare
2018-04-01,Stanford University,6771.0,Longtermism,Stanford University|Longtermism
2018-03-01,Compassion in World Farming USA,1500000.0,Animal Welfare,Compassion in World Farming USA|Animal Welfare
2018-03-01,ACTAsia,350000.0,Animal Welfare,ACTAsia|Animal Welfare
2018-03-01,Schistosomiasis Control Initiative,2500000.0,Global Health,Schistosomiasis Control Initiative|Global Health
2018-03-01,Aquaculture Stewardship Council,13813.0,Animal Welfare,Aquaculture Stewardship Council|Animal Welfare
2018-03-01,Centre for Effective Altruism,5000000.0,Meta,Centre for Effective Altruism|Meta
2018-03-01,Brighter Green,430000.0,Animal Welfare,Brighter Green|Animal Welfare
2018-03-01,WildAid,500000.0,Animal Welfare,WildAid|Animal Welfare
2018-02-01,Global Priorities Institute,3112969.0,Meta,Global Priorities Institute|Meta
2018-02-01,Founders Pledge,5222653.0,Meta,Founders Pledge|Meta
2018-02-01,Center for Global Development,49942.0,Longtermism,Center for Global Development|Longtermism
2018-02-01,AI Scholarships,159000.0,Longtermism,AI Scholarships|Longtermism
2018-02-01,Better Eating International,67110.0,Animal Welfare,Better Eating International|Animal Welfare
2018-02-01,Farm Forward,165691.0,Animal Welfare,Farm Forward|Animal Welfare
2018-02-01,Georgetown Center for Global Health Science and Security,44627.0,Longtermism,Georgetown Center for Global Health Science and Security|Longtermism
2018-02-01,"80,000 Hours",510000.0,Meta,"80,000 Hours|Meta"
2018-02-01,Cynthia Schuck & Wladimir Alonso,96130.0,Animal Welfare,Cynthia Schuck & Wladimir Alonso|Animal Welfare
2018-01-01,Center for Applied Rationality,1000000.0,Meta,Center for Applied Rationality|Meta
2018-01-01,Blue Ribbon Study Panel on Biodefense,2588162.0,Longtermism,Blue Ribbon Study Panel on Biodefense|Longtermism
2018-01-01,Center for Applied Rationality,560000.0,Meta,Center for Applied Rationality|Meta
2018-01-01,Helen Keller International,7200000.0,Global Health,Helen Keller International|Global Health
2018-01-01,Sightsavers,2500000.0,Global Health,Sightsavers|Global Health
2018-01-01,Living Goods,100000.0,Global Health,Living Goods|Global Health
2017-12-01,Family Farm Action,153000.0,Animal Welfare,Family Farm Action|Animal Welfare
2017-12-01,Humane Society Legislative Fund,395094.0,Animal Welfare,Humane Society Legislative Fund|Animal Welfare
2017-12-01,Food Fortification Initiative,100000.0,Global Health,Food Fortification Initiative|Global Health
2017-12-01,Evidence Action,15200000.0,Global Health,Evidence Action|Global Health
2017-12-01,Against Malaria Foundation,2500000.0,Global Health,Against Malaria Foundation|Global Health
2017-12-01,American Society for Microbiology,43149.0,Longtermism,American Society for Microbiology|Longtermism
2017-12-01,Evidence Action,11500000.0,Global Health,Evidence Action|Global Health
2017-12-01,The Center for Election Science,628600.0,Meta,The Center for Election Science|Meta
2017-12-01,Carnegie Endowment for International Peace,613380.0,Longtermism,Carnegie Endowment for International Peace|Longtermism
2017-12-01,Iodine Global Network,100000.0,Global Health,Iodine Global Network|Global Health
2017-12-01,Development Media International,100000.0,Global Health,Development Media International|Global Health
2017-12-01,Global Alliance for Improved Nutrition,100000.0,Global Health,Global Alliance for Improved Nutrition|Global Health
2017-12-01,Project Healthy Children,100000.0,Global Health,Project Healthy Children|Global Health
2017-12-01,The END Fund,2500000.0,Global Health,The END Fund|Global Health
2017-12-01,Evidence Action,100000.0,Global Health,Evidence Action|Global Health
2017-12-01,GiveDirectly,2500000.0,Global Health,GiveDirectly|Global Health
2017-12-01,Evidence Action,800000.0,Global Health,Evidence Action|Global Health
2017-12-01,Malaria Consortium,27900000.0,Global Health,Malaria Consortium|Global Health
2017-11-01,The Good Food Institute,1500000.0,Animal Welfare,The Good Food Institute|Animal Welfare
2017-11-01,Association L214,1347742.0,Animal Welfare,Association L214|Animal Welfare
2017-11-01,fair-fish international association,453841.0,Animal Welfare,fair-fish international association|Animal Welfare
2017-11-01,New Incentives ,5944203.0,Global Health,New Incentives |Global Health
2017-11-01,InterAcademy Partnership,14605.0,Longtermism,InterAcademy Partnership|Longtermism
2017-11-01,theguardian.org,886600.0,Animal Welfare,theguardian.org|Animal Welfare
2017-11-01,Aquaculture Stewardship Council,533036.0,Animal Welfare,Aquaculture Stewardship Council|Animal Welfare
2017-11-01,Animal Equality,2110460.0,Animal Welfare,Animal Equality|Animal Welfare
2017-11-01,Otwarte Klatki,472864.0,Animal Welfare,Otwarte Klatki|Animal Welfare
2017-11-01,David Manheim,65308.0,Longtermism,David Manheim|Longtermism
2017-10-01,Nuclear Threat Initiative,6000000.0,Longtermism,Nuclear Threat Initiative|Longtermism
2017-10-01,Anima,683000.0,Animal Welfare,Anima|Animal Welfare
2017-10-01,Compassion in World Farming,1000000.0,Animal Welfare,Compassion in World Farming|Animal Welfare
2017-10-01,Harvard University ,21200.0,Animal Welfare,Harvard University |Animal Welfare
2017-10-01,World Animal Net,50000.0,Animal Welfare,World Animal Net|Animal Welfare
2017-10-01,Royal Society for the Prevention of Cruelty to Animals,374631.0,Animal Welfare,Royal Society for the Prevention of Cruelty to Animals|Animal Welfare
2017-10-01,Machine Intelligence Research Institute,3750000.0,Longtermism,Machine Intelligence Research Institute|Longtermism
2017-10-01,UC Berkeley,1450016.0,Longtermism,UC Berkeley|Longtermism
2017-10-01,GiveWell,530764.0,Meta,GiveWell|Meta
2017-09-01,Global Aquaculture Alliance,435000.0,Animal Welfare,Global Aquaculture Alliance|Animal Welfare
2017-09-01,Eurogroup for Animals,625400.0,Animal Welfare,Eurogroup for Animals|Animal Welfare
2017-09-01,Solar Radiation Management Governance Initiative,2000000.0,Longtermism,Solar Radiation Management Governance Initiative|Longtermism
2017-09-01,Albert Schweitzer Foundation,1000000.0,Animal Welfare,Albert Schweitzer Foundation|Animal Welfare
2017-09-01,Global Animal Partnership,285000.0,Animal Welfare,Global Animal Partnership|Animal Welfare
2017-09-01,The Humane League,2000000.0,Animal Welfare,The Humane League|Animal Welfare
2017-08-01,Center for a New American Security,260000.0,Longtermism,Center for a New American Security|Longtermism
2017-08-01,Centre for Pesticide Suicide Prevention,1336409.0,Global Health,Centre for Pesticide Suicide Prevention|Global Health
2017-07-01,Berkeley Existential Risk Initiative,403890.0,Longtermism,Berkeley Existential Risk Initiative|Longtermism
2017-07-01,Center for Effective Global Action at UC Berkeley,492188.0,Global Health,Center for Effective Global Action at UC Berkeley|Global Health
2017-07-01,Yale University,299320.0,Longtermism,Yale University|Longtermism
2017-07-01,Smithsonian Institution,300000.0,Longtermism,Smithsonian Institution|Longtermism
2017-07-01,Charity Science Health,357543.0,Global Health,Charity Science Health|Global Health
2017-07-01,Federation of Indian Animal Protection Organisations,332944.0,Animal Welfare,Federation of Indian Animal Protection Organisations|Animal Welfare
2017-07-01,Montreal Institute for Learning Algorithms,2400000.0,Longtermism,Montreal Institute for Learning Algorithms|Longtermism
2017-07-01,University of Pennsylvania,1550000.0,Meta,University of Pennsylvania|Meta
2017-06-01,Center for Effective Global Action at UC Berkeley,18000.0,Global Health,Center for Effective Global Action at UC Berkeley|Global Health
2017-06-01,Humane Slaughter Association,2528678.0,Animal Welfare,Humane Slaughter Association|Animal Welfare
2017-06-01,Animal Welfare Action Lab,79100.0,Animal Welfare,Animal Welfare Action Lab|Animal Welfare
2017-06-01,Humane Slaughter Association,419236.0,Animal Welfare,Humane Slaughter Association|Animal Welfare
2017-05-01,Eurogroup for Animals,14961.0,Animal Welfare,Eurogroup for Animals|Animal Welfare
2017-05-01,UCLA School of Law,1536222.0,Longtermism,UCLA School of Law|Longtermism
2017-05-01,Compassion in World Farming USA,30000.0,Animal Welfare,Compassion in World Farming USA|Animal Welfare
2017-05-01,Humane Society International India,1100000.0,Animal Welfare,Humane Society International India|Animal Welfare
2017-05-01,Stanford University,1337600.0,Longtermism,Stanford University|Longtermism
2017-05-01,People for Animals,120000.0,Animal Welfare,People for Animals|Animal Welfare
2017-05-01,Future of Life Institute,100000.0,Longtermism,Future of Life Institute|Longtermism
2017-05-01,Animal Equality,292000.0,Animal Welfare,Animal Equality|Animal Welfare
2017-05-01,Center for Applied Rationality,340000.0,Meta,Center for Applied Rationality|Meta
2017-05-01,North Carolina State University,252725.0,Longtermism,North Carolina State University|Longtermism
2017-05-01,IDinsight,2321617.0,Global Health,IDinsight|Global Health
2017-05-01,Mercy For Animals,500000.0,Animal Welfare,Mercy For Animals|Animal Welfare
2017-05-01,Genspace ,454025.0,Longtermism,Genspace |Longtermism
2017-05-01,"National Academies of Sciences, Engineering, and Medicine",452545.0,Longtermism,"National Academies of Sciences, Engineering, and Medicine|Longtermism"
2017-04-01,Foundation for Food and Agriculture Research,1000000.0,Animal Welfare,Foundation for Food and Agriculture Research|Animal Welfare
2017-04-01,The Greenfield Project,500000.0,Animal Welfare,The Greenfield Project|Animal Welfare
2017-04-01,BioBricks Foundation,152950.0,Longtermism,BioBricks Foundation|Longtermism
2017-04-01,Animal Charity Evaluators,500000.0,Animal Welfare,Animal Charity Evaluators|Animal Welfare
2017-04-01,Center for Effective Global Action at UC Berkeley,1104259.0,Global Health,Center for Effective Global Action at UC Berkeley|Global Health
2017-04-01,New Incentives,820000.0,Global Health,New Incentives|Global Health
2017-04-01,Evidence Action,2642300.0,Global Health,Evidence Action|Global Health
2017-03-01,Rutgers University,2982206.0,Longtermism,Rutgers University|Longtermism
2017-03-01,Institute for Advancement of Animal Welfare Science,80400.0,Animal Welfare,Institute for Advancement of Animal Welfare Science|Animal Welfare
2017-03-01,OpenAI,30000000.0,Longtermism,OpenAI|Longtermism
2017-03-01,World Animal Protection,517588.0,Animal Welfare,World Animal Protection|Animal Welfare
2017-03-01,Centre for Effective Altruism,2500000.0,Meta,Centre for Effective Altruism|Meta
2017-03-01,Wageningen UR,88345.0,Animal Welfare,Wageningen UR|Animal Welfare
2017-03-01,"80,000 Hours",1125000.0,Meta,"80,000 Hours|Meta"
2017-03-01,UCLA School of Law,776095.0,Longtermism,UCLA School of Law|Longtermism
2017-03-01,Distill Prize for Clarity in Machine Learning,25000.0,Longtermism,Distill Prize for Clarity in Machine Learning|Longtermism
2017-03-01,International Society for Applied Ethology,40000.0,Animal Welfare,International Society for Applied Ethology|Animal Welfare
2017-03-01,Stanford University,25000.0,Longtermism,Stanford University|Longtermism
2017-03-01,Future of Humanity Institute,1995425.0,Longtermism,Future of Humanity Institute|Longtermism
2017-03-01,Georgetown Center for Global Health Science and Security,3500000.0,Longtermism,Georgetown Center for Global Health Science and Security|Longtermism
2017-03-01,Jeanne Marchig International Centre for Animal Welfare Education,255816.0,Animal Welfare,Jeanne Marchig International Centre for Animal Welfare Education|Animal Welfare
2017-03-01,ClimateWorks Foundation,3000000.0,Longtermism,ClimateWorks Foundation|Longtermism
2017-03-01,Humane Society International,1364000.0,Animal Welfare,Humane Society International|Animal Welfare
2017-02-01,Global Animal Partnership,515000.0,Animal Welfare,Global Animal Partnership|Animal Welfare
2017-02-01,Genspace ,15000.0,Longtermism,Genspace |Longtermism
2017-02-01,Global Animal Partnership,200000.0,Animal Welfare,Global Animal Partnership|Animal Welfare
2017-02-01,Malaria Consortium,5000000.0,Global Health,Malaria Consortium|Global Health
2017-02-01,Compassion in World Farming,765112.0,Animal Welfare,Compassion in World Farming|Animal Welfare
2017-02-01,Dyrevernalliansen (The Norwegian Animal Protection Alliance),378000.0,Animal Welfare,Dyrevernalliansen (The Norwegian Animal Protection Alliance)|Animal Welfare
2017-02-01,Royal Society for the Prevention of Cruelty to Animals,453440.0,Animal Welfare,Royal Society for the Prevention of Cruelty to Animals|Animal Welfare
2017-02-01,Nuclear Threat Initiative,476859.0,Longtermism,Nuclear Threat Initiative|Longtermism
2017-02-01,"Georgetown University Initiative on Innovation, Development, and Evaluation",900000.0,Global Health,"Georgetown University Initiative on Innovation, Development, and Evaluation|Global Health"
2017-01-01,Farm Forward,100000.0,Animal Welfare,Farm Forward|Animal Welfare
2017-01-01,Johns Hopkins Center for Health Security,16000000.0,Longtermism,Johns Hopkins Center for Health Security|Longtermism
2017-01-01,Compassion in World Farming,1026253.0,Animal Welfare,Compassion in World Farming|Animal Welfare
2017-01-01,Blue Ribbon Study Panel on Biodefense,500000.0,Longtermism,Blue Ribbon Study Panel on Biodefense|Longtermism
2017-01-01,Global Alliance for Improved Nutrition,250000.0,Global Health,Global Alliance for Improved Nutrition|Global Health
2017-01-01,Albert Schweitzer Foundation,317060.0,Animal Welfare,Albert Schweitzer Foundation|Animal Welfare
2017-01-01,Albert Schweitzer Foundation,111986.0,Animal Welfare,Albert Schweitzer Foundation|Animal Welfare
2017-01-01,Evidence Action,4470000.0,Global Health,Evidence Action|Global Health
2017-01-01,Against Malaria Foundation,15080000.0,Global Health,Against Malaria Foundation|Global Health
2017-01-01,Schistosomiasis Control Initiative,13500000.0,Global Health,Schistosomiasis Control Initiative|Global Health
2017-01-01,Sightsavers,2950000.0,Global Health,Sightsavers|Global Health
2017-01-01,GiveDirectly,2500000.0,Global Health,GiveDirectly|Global Health
2017-01-01,Living Goods,250000.0,Global Health,Living Goods|Global Health
2017-01-01,Project Healthy Children,250000.0,Global Health,Project Healthy Children|Global Health
2016-12-01,The END Fund,5000000.0,Global Health,The END Fund|Global Health
2016-12-01,Food Fortification Initiative,250000.0,Global Health,Food Fortification Initiative|Global Health
2016-12-01,Iodine Global Network,250000.0,Global Health,Iodine Global Network|Global Health
2016-12-01,The Pollination Project,233000.0,Animal Welfare,The Pollination Project|Animal Welfare
2016-12-01,Development Media International,250000.0,Global Health,Development Media International|Global Health
2016-12-01,Evidence Action,1687500.0,Global Health,Evidence Action|Global Health
2016-12-01,Harvard University,2500000.0,Longtermism,Harvard University|Longtermism
2016-12-01,Griffith University,120000.0,Animal Welfare,Griffith University|Animal Welfare
2016-12-01,Animal Welfare Standards Project,238212.0,Animal Welfare,Animal Welfare Standards Project|Animal Welfare
2016-12-01,AI Impacts,32000.0,Longtermism,AI Impacts|Longtermism
2016-12-01,Eurogroup for Animals,535699.0,Animal Welfare,Eurogroup for Animals|Animal Welfare
2016-12-01,Compassion Over Killing,500000.0,Animal Welfare,Compassion Over Killing|Animal Welfare
2016-11-01,Green Monday,226000.0,Animal Welfare,Green Monday|Animal Welfare
2016-11-01,New Incentives,368587.0,Global Health,New Incentives|Global Health
2016-11-01,Electronic Frontier Foundation,199000.0,Longtermism,Electronic Frontier Foundation|Longtermism
2016-11-01,Humane Society of the United States,1000000.0,Animal Welfare,Humane Society of the United States|Animal Welfare
2016-11-01,Mercy For Animals,1000000.0,Animal Welfare,Mercy For Animals|Animal Welfare
2016-11-01,The Humane League,1000000.0,Animal Welfare,The Humane League|Animal Welfare
2016-11-01,IDinsight,314752.0,Global Health,IDinsight|Global Health
2016-11-01,Charity Science: Health,200000.0,Global Health,Charity Science: Health|Global Health
2016-10-01,Fórum Nacional de Proteção e Defesa Animal,100000.0,Animal Welfare,Fórum Nacional de Proteção e Defesa Animal|Animal Welfare
2016-10-01,Center for International Security and Cooperation,643415.0,Longtermism,Center for International Security and Cooperation|Longtermism
2016-10-01,Johns Hopkins Center for Health Security,2744000.0,Longtermism,Johns Hopkins Center for Health Security|Longtermism
2016-10-01,World Animal Protection,544607.0,Animal Welfare,World Animal Protection|Animal Welfare
2016-09-01,Founders Pledge,1032947.0,Meta,Founders Pledge|Meta
2016-09-01,WildAid,700000.0,Animal Welfare,WildAid|Animal Welfare
2016-09-01,Future of Humanity Institute,115652.0,Longtermism,Future of Humanity Institute|Longtermism
2016-09-01,The Good Food Institute,1000000.0,Animal Welfare,The Good Food Institute|Animal Welfare
2016-09-01,University of Cape Town,493425.0,Longtermism,University of Cape Town|Longtermism
2016-09-01,Brighter Green,99360.0,Animal Welfare,Brighter Green|Animal Welfare
2016-09-01,GiveWell,500000.0,Meta,GiveWell|Meta
2016-08-01,People for Animals,89392.0,Animal Welfare,People for Animals|Animal Welfare
2016-08-01,Machine Intelligence Research Institute,500000.0,Longtermism,Machine Intelligence Research Institute|Longtermism
2016-08-01,UC Berkeley,5555550.0,Longtermism,UC Berkeley|Longtermism
2016-08-01,Humane Society International,1000000.0,Animal Welfare,Humane Society International|Animal Welfare
2016-08-01,Mercy For Animals,1000000.0,Animal Welfare,Mercy For Animals|Animal Welfare
2016-08-01,Animal Equality,500000.0,Animal Welfare,Animal Equality|Animal Welfare
2016-08-01,Blue Ribbon Study Panel on Biodefense,1300000.0,Longtermism,Blue Ribbon Study Panel on Biodefense|Longtermism
2016-07-01,The Humane League,1000000.0,Animal Welfare,The Humane League|Animal Welfare
2016-07-01,Center for Applied Rationality,1035000.0,Meta,Center for Applied Rationality|Meta
2016-06-01,George Mason University,277435.0,Longtermism,George Mason University|Longtermism
2016-06-01,IDinsight,1985000.0,Global Health,IDinsight|Global Health
2016-05-01,Center for Applied Rationality,304000.0,Meta,Center for Applied Rationality|Meta
2016-05-01,Forum for Climate Engineering Assessment,76234.0,Longtermism,Forum for Climate Engineering Assessment|Longtermism
2016-05-01,International Genetically Engineered Machine Foundation,520000.0,Longtermism,International Genetically Engineered Machine Foundation|Longtermism
2016-05-01,Innovations for Poverty Action,350000.0,Global Health,Innovations for Poverty Action|Global Health
2016-05-01,Results for Development,6400000.0,Global Health,Results for Development|Global Health
2016-04-01,Compassion in World Farming USA,550000.0,Animal Welfare,Compassion in World Farming USA|Animal Welfare
2016-04-01,Global Animal Partnership,500000.0,Animal Welfare,Global Animal Partnership|Animal Welfare
2016-03-01,University of Pennsylvania,500000.0,Meta,University of Pennsylvania|Meta
2016-03-01,Future of Life Institute,100000.0,Longtermism,Future of Life Institute|Longtermism
2016-03-01,New Incentives,300000.0,Global Health,New Incentives|Global Health
2016-03-01,Evidence Action,812351.0,Global Health,Evidence Action|Global Health
2016-02-01,Mercy For Animals,1000000.0,Animal Welfare,Mercy For Animals|Animal Welfare
2016-02-01,Center for Global Development,3000000.0,Global Health,Center for Global Development|Global Health
2016-02-01,The Humane League,1000000.0,Animal Welfare,The Humane League|Animal Welfare
2016-02-01,The Humane Society of the United States,500000.0,Animal Welfare,The Humane Society of the United States|Animal Welfare
2016-01-01,GiveDirectly,9750000.0,Global Health,GiveDirectly|Global Health
2016-01-01,Schistosomiasis Control Initiative,1000000.0,Global Health,Schistosomiasis Control Initiative|Global Health
2016-01-01,Evidence Action,10790000.0,Global Health,Evidence Action|Global Health
2016-01-01,Against Malaria Foundation,22845518.0,Global Health,Against Malaria Foundation|Global Health
2015-12-01,Development Media International,250000.0,Global Health,Development Media International|Global Health
2015-12-01,Iodine Global Network,250000.0,Global Health,Iodine Global Network|Global Health
2015-12-01,Living Goods,250000.0,Global Health,Living Goods|Global Health
2015-10-01,Global Alliance for Improved Nutrition,250000.0,Global Health,Global Alliance for Improved Nutrition|Global Health
2015-09-01,Abdul Latif Jameel Poverty Action Lab,200000.0,Global Health,Abdul Latif Jameel Poverty Action Lab|Global Health
2015-08-01,Future of Life Institute ,1186000.0,Longtermism,Future of Life Institute |Longtermism
2015-07-01,Solar Radiation Management Governance Initiative,500000.0,Longtermism,Solar Radiation Management Governance Initiative|Longtermism
2015-06-01,GiveDirectly,25000000.0,Global Health,GiveDirectly|Global Health
2015-06-01,Brookings Institution,100000.0,Meta,Brookings Institution|Meta
2015-04-01,Blue Ribbon Study Panel on Biodefense ,300000.0,Longtermism,Blue Ribbon Study Panel on Biodefense |Longtermism
2015-03-01,Evidence Action,170792.0,Global Health,Evidence Action|Global Health
2015-03-01,New Incentives,100000.0,Global Health,New Incentives|Global Health
2015-03-01,Carnegie Endowment for International Peace,100000.0,Meta,Carnegie Endowment for International Peace|Meta
2015-02-01,"Associated Students of the University of California, Berkeley",10000.0,Meta,"Associated Students of the University of California, Berkeley|Meta"
2015-01-01,GiveWell,500000.0,Meta,GiveWell|Meta
2014-12-01,Evidence Action,250000.0,Global Health,Evidence Action|Global Health
2014-12-01,Global Alliance for Improved Nutrition,250000.0,Global Health,Global Alliance for Improved Nutrition|Global Health
2014-12-01,Iodine Global Network,250000.0,Global Health,Iodine Global Network|Global Health
2014-12-01,Development Media International,250000.0,Global Health,Development Media International|Global Health
2014-12-01,Against Malaria Foundation,5000000.0,Global Health,Against Malaria Foundation|Global Health
2014-12-01,Living Goods,250000.0,Global Health,Living Goods|Global Health
2014-12-01,GiveDirectly,5000000.0,Global Health,GiveDirectly|Global Health
2014-12-01,Schistosomiasis Control Initiative,3000000.0,Global Health,Schistosomiasis Control Initiative|Global Health
2014-09-01,IDinsight,34382.0,Global Health,IDinsight|Global Health
2014-07-01,Alliance for Open Society International,500000.0,Meta,Alliance for Open Society International|Meta
2014-06-01,Cochrane Collaboration,300000.0,Meta,Cochrane Collaboration|Meta
2014-05-01,GiveWell,500000.0,Meta,GiveWell|Meta
2014-03-01,Evidence Action,250000.0,Global Health,Evidence Action|Global Health
2014-03-01,International Development Association,500000.0,Meta,International Development Association|Meta
2014-01-01,New Incentives,100000.0,Global Health,New Incentives|Global Health
2014-01-01,GiveDirectly,7000000.0,Global Health,GiveDirectly|Global Health
2013-12-01,Schistosomiasis Control Initiative,750000.0,Global Health,Schistosomiasis Control Initiative|Global Health
2013-12-01,Evidence Action,1500000.0,Global Health,Evidence Action|Global Health
2013-07-01,Center for Global Development,300000.0,Global Health,Center for Global Development|Global Health
2012-12-01,GiveDirectly,500000.0,Global Health,GiveDirectly|Global Health
2012-12-01,Schistosomiasis Control Initiative,250000.0,Global Health,Schistosomiasis Control Initiative|Global Health
2012-12-01,Against Malaria Foundation,1250000.0,Global Health,Against Malaria Foundation|Global Health
2012-08-01,Population Services International,1000000.0,Meta,Population Services International|Meta
2012-07-01,United States Cochrane Center,100000.0,Meta,United States Cochrane Center|Meta
