Date,Organization Name,Amount,Cause Area,org_cause
2020-05-01,Open Phil AI Fellowship,2300000.0,Longtermism,Open Phil AI Fellowship|Longtermism
2020-05-01,Sinergia Animal,800000.0,Animal Welfare,Sinergia Animal|Animal Welfare
2020-05-01,Nuclear Threat Initiative,500000.0,Longtermism,Nuclear Threat Initiative|Longtermism
2020-04-01,World Economic Forum,50000.0,Longtermism,World Economic Forum|Longtermism
2020-04-01,Global Priorities Institute,3298715.0,Meta,Global Priorities Institute|Meta
2020-04-01,LessWrong,300000.0,Meta,LessWrong|Meta
2020-04-01,Rutgers University,3000000.0,Longtermism,Rutgers University|Longtermism
2020-04-01,Center for Global Development,550000.0,Global Health,Center for Global Development|Global Health
2020-04-01,Sea-Long Global Respiratory Systems ,325000.0,Longtermism,Sea-Long Global Respiratory Systems |Longtermism
2020-04-01,Reducetarian Foundation,14190.0,Animal Welfare,Reducetarian Foundation|Animal Welfare
2020-04-01,Equalia,150000.0,Animal Welfare,Equalia|Animal Welfare
2020-04-01,Animal Nepal ,271700.0,Animal Welfare,Animal Nepal |Animal Welfare
2020-04-01,International Genetically Engineered Machine Foundation ,940000.0,Longtermism,International Genetically Engineered Machine Foundation |Longtermism
2020-04-01,Brown Institute for Media Innovation,15000.0,Longtermism,Brown Institute for Media Innovation|Longtermism
2020-04-01,Foundation for Food and Agriculture Research,500000.0,Animal Welfare,Foundation for Food and Agriculture Research|Animal Welfare
2020-04-01,University of Colorado,250000.0,Longtermism,University of Colorado|Longtermism
2020-04-01,Compassion in World Farming USA,78750.0,Animal Welfare,Compassion in World Farming USA|Animal Welfare
2020-04-01,Effective Altruism Foundation,15358.0,Global Health,Effective Altruism Foundation|Global Health
2020-03-01,fair-fish international association,630370.0,Animal Welfare,fair-fish international association|Animal Welfare
2020-03-01,Against COVID-19,10000.0,Longtermism,Against COVID-19|Longtermism
2020-03-01,Johns Hopkins University,55000.0,Longtermism,Johns Hopkins University|Longtermism
2020-03-01,Georgetown Center for Global Health Science and Security,2400000.0,Longtermism,Georgetown Center for Global Health Science and Security|Longtermism
2020-03-01,Good Judgment Inc.,75500.0,Longtermism,Good Judgment Inc.|Longtermism
2020-03-01,Center for Global Development,250000.0,Longtermism,Center for Global Development|Longtermism
2020-03-01,UC Berkeley,88000.0,Global Health,UC Berkeley|Global Health
2020-03-01,Council on Strategic Risks,410000.0,Longtermism,Council on Strategic Risks|Longtermism
2020-03-01,Alianima,130000.0,Animal Welfare,Alianima|Animal Welfare
2020-03-01,Brighter Green,340000.0,Animal Welfare,Brighter Green|Animal Welfare
2020-03-01,International Society for Applied Ethology,229830.0,Animal Welfare,International Society for Applied Ethology|Animal Welfare
2020-03-01,Royal Society for the Prevention of Cruelty to Animals,425000.0,Animal Welfare,Royal Society for the Prevention of Cruelty to Animals|Animal Welfare
2020-02-01,Centre for Effective Altruism,180000.0,Meta,Centre for Effective Altruism|Meta
2020-02-01,Bipartisan Commission on Biodefense,2970000.0,Longtermism,Bipartisan Commission on Biodefense|Longtermism
2020-02-01,Nuclear Threat Initiative,8000000.0,Longtermism,Nuclear Threat Initiative|Longtermism
2020-02-01,Soko Tierschutz,297291.0,Animal Welfare,Soko Tierschutz|Animal Welfare
2020-02-01,The Wilson Center,368440.0,Longtermism,The Wilson Center|Longtermism
2020-02-01,Johns Hopkins Center for Health Security,1860000.0,Longtermism,Johns Hopkins Center for Health Security|Longtermism
2020-02-01,WestExec,390000.0,Longtermism,WestExec|Longtermism
2020-02-01,University of Oxford ,776271.0,Meta,University of Oxford |Meta
2020-02-01,Future of Humanity Institute ,939263.0,Longtermism,Future of Humanity Institute |Longtermism
2020-02-01,"80,000 Hours",3457284.0,Meta,"80,000 Hours|Meta"
2020-02-01,Machine Intelligence Research Institute,7703750.0,Longtermism,Machine Intelligence Research Institute|Longtermism
